title,release_date,developer,publisher,tags,bundle,music
Vampire: The Masquerade - Shadows of New York,"10 Sep, 2020",Draw Distance,Dear Villagers,"Visual Novel,Indie,Vampire,Story Rich,Female Protagonist,Choices Matter,LGBTQ+,Great Soundtrack,Singleplayer,Sexual Content,Horror,RPG",,Buy Vampire: The Masquerade - Shadows of New York
Vampire: The Masquerade - Coteries of New York,"11 Dec, 2019",Draw Distance,Dear Villagers,"Visual Novel,Indie,Vampire,Interactive Fiction,Story Rich,Atmospheric,Dark,RPG,Narration,Narrative,Singleplayer,LGBTQ+,Great Soundtrack,Horror,Choices Matter,Nudity,Sexual Content,Text-Based,Adventure",,Buy Vampire: The Masquerade - Coteries of New York
Vampire: The Masquerade - Reckoning of New York,"10 Sep, 2024",Draw Distance,Dear Villagers,"RPG,Visual Novel,2D,Text-Based,Atmospheric,Conspiracy,Choices Matter,Singleplayer,Vampire,Indie",,Buy Vampire: The Masquerade - Reckoning of New York
Pugmire: Treasure of the Sea Dogs,"15 Jul, 2021",Choice of Games,Choice of Games,"RPG,Interactive Fiction,Character Customization,Text-Based,Funny,Lore-Rich,Choices Matter,Multiple Endings,Story Rich,Fantasy,Action,Pirates,Dog,Casual,Adventure,Magic,Singleplayer,Alternate History,Indie",,
New Witch in Town,"26 Jan, 2023",Choice of Games,Choice of Games,"Casual,RPG,Interactive Fiction,Action,Action-Adventure,Text-Based,Story Rich,Indie,Fantasy,Singleplayer",,Buy New Witch in Town
Stars Arisen,"15 Mar, 2023",Choice of Games,Choice of Games,"RPG,Interactive Fiction,Choose Your Own Adventure,First-Person,Text-Based,Atmospheric,Dark Fantasy,Emotional,Fantasy,LGBTQ+,Romance,Supernatural,Conversation,Female Protagonist,Multiple Endings,Nonlinear,Story Rich,Singleplayer,Indie",,
Royal Affairs,"30 Mar, 2023",Choice of Games,Choice of Games,"RPG,Choose Your Own Adventure,Text-Based,First-Person,Modern,Romance,Choices Matter,Character Customization,Conversation,Female Protagonist,Indie,Multiple Endings,Story Rich,Singleplayer,LGBTQ+",,Buy Royal Affairs
Elite Status: Platinum Concierge,"27 Jul, 2023",Choice of Games,Choice of Games,"RPG,Interactive Fiction,Choose Your Own Adventure,Text-Based,Capitalism,Crime,Drama,Character Customization,Choices Matter,Indie,Multiple Endings,Story Rich,Singleplayer,Romance",,
Top Villain: Total Domination,"17 Aug, 2023",Choice of Games,Choice of Games,"RPG,Choose Your Own Adventure,Text-Based,First-Person,Comedy,Comic Book,Dark Comedy,Dark Humor,Satire,Superhero,Indie,Casual,Character Customization,Choices Matter,Multiple Endings,Story Rich,Singleplayer",,Buy Top Villain: Total Domination
The Bread Must Rise,"28 Sep, 2023",Choice of Games,Choice of Games,"Adventure,Casual,Comedy,Cooking,RPG,Fantasy,Lovecraftian,Interactive Fiction,Text-Based,Choose Your Own Adventure,Indie,Choices Matter,Multiple Endings,Story Rich,Singleplayer",,
Escape from Death,"12 Oct, 2023",Choice of Games,Choice of Games,"RPG,Interactive Fiction,Choose Your Own Adventure,First-Person,Atmospheric,Dark,Dark Fantasy,Demons,Fantasy,Gothic,Horror,Lore-Rich,Supernatural,Text-Based,Character Customization,Choices Matter,Multiple Endings,Story Rich,Singleplayer",,Buy Escape from Death
Choice of the Viking,"15 Dec, 2022",Choice of Games,Choice of Games,"RPG,Action RPG,Choose Your Own Adventure,Text-Based,First-Person,Fantasy,Historical,War,Female Protagonist,Indie,Multiple Endings,Story Rich,Singleplayer",,Buy Choice of the Viking
Professor of Magical Studies,"8 Dec, 2022",Choice of Games,Choice of Games,"RPG,Choose Your Own Adventure,Interactive Fiction,Education,Text-Based,Choices Matter,Casual,Multiple Endings,Story Rich,Fantasy,Logic,Adventure,Sci-fi,Aliens,Modern,Supernatural,Singleplayer,Indie",,Buy Professor of Magical Studies
Teahouse of the Gods,"23 Nov, 2022",Choice of Games,Choice of Games,"RPG,Choose Your Own Adventure,Text-Based,First-Person,Fantasy,Foreign,Investigation,Lore-Rich,Magic,Modern,Mythology,Philosophical,Supernatural,Character Customization,Choices Matter,Female Protagonist,Multiple Endings,Story Rich,Singleplayer,Indie",,Buy Teahouse of the Gods
Skystrike: Wings of Justice,"10 Nov, 2022",Choice of Games,Choice of Games,"RPG,Choose Your Own Adventure,Text-Based,First-Person,Sci-fi,Superhero,Thriller,Character Customization,Choices Matter,Multiple Endings,Indie,Story Rich,Singleplayer,Action,Adventure",,Buy Skystrike: Wings of Justice
A Crown of Sorcery and Steel,"27 Oct, 2022",Choice of Games,Choice of Games,"Adventure,Casual,RPG,Fantasy,Text-Based,Medieval,Choose Your Own Adventure,Interactive Fiction,Choices Matter,Indie,Multiple Endings,Story Rich,Singleplayer",,Buy A Crown of Sorcery and Steel
Noblesse Oblige,"25 Aug, 2022",Choice of Games,Choice of Games,"RPG,Interactive Fiction,Choose Your Own Adventure,Atmospheric,Conspiracy,Drama,Text-Based,Mystery,Romance,Character Customization,Indie,Choices Matter,Conversation,Female Protagonist,Multiple Endings,Story Rich,Singleplayer",,Buy Noblesse Oblige
Paranormal Preparatory School,"11 Aug, 2022",Choice of Games,Choice of Games,"RPG,Interactive Fiction,Choose Your Own Adventure,First-Person,Text-Based,Horror,Lore-Rich,Romance,Supernatural,Vampire,Werewolves,Indie,Character Customization,Choices Matter,Multiple Endings,Story Rich,Singleplayer",,Buy Paranormal Preparatory School
The Dragon and the Djinn,"28 Jul, 2022",Choice of Games,Choice of Games,"RPG,Choose Your Own Adventure,Interactive Fiction,Character Customization,Text-Based,Dragons,Lore-Rich,Choices Matter,Multiple Endings,Action,Casual,Story Rich,Fantasy,Magic,Adventure,Mythology,Foreign,Supernatural,Singleplayer,Indie",,
Social Services of the Doomed,"23 Jun, 2022",Choice of Games,Choice of Games,"RPG,Interactive Fiction,Text-Based,Lore-Rich,Story Rich,Choices Matter,Multiple Endings,Fantasy,Comedy,Drama,Supernatural,Singleplayer,Diplomacy,Choose Your Own Adventure,Casual,Demons,Magic,Vampire,Werewolves,Character Customization",,
Nikola Tesla: War of the Currents,"12 May, 2022",Choice of Games,Choice of Games,"RPG,Interactive Fiction,Casual,Text-Based,Historical,Adventure,Choices Matter,Story Rich,Multiple Endings,Narration,Management,Investigation,Indie,Lore-Rich,Retro,Singleplayer",,
Siege of Treboulain,"14 Apr, 2022",Choice of Games,Choice of Games,"RPG,Interactive Fiction,Choose Your Own Adventure,Action RPG,Text-Based,First-Person,Fantasy,Medieval,War,Casual,Indie,Character Customization,Choices Matter,Adventure,Multiple Endings,Action,Story Rich,Singleplayer",,
Revolution Diabolique,"24 Feb, 2022",Choice of Games,Choice of Games,"Casual,RPG,Interactive Fiction,Action-Adventure,Action,Text-Based,Adventure,Alternate History,Historical,Story Rich,Choices Matter,Multiple Endings,Indie,Demons,Drama,Singleplayer",,Buy Revolution Diabolique
Witchcraft U,"9 Dec, 2021",Choice of Games,Choice of Games,"RPG,Interactive Fiction,Choose Your Own Adventure,Cute,Text-Based,Magic,Character Customization,Choices Matter,Multiple Endings,Story Rich,Singleplayer",,Buy Witchcraft U
Faerie's Bargain: The Price of Business,"2 Dec, 2021",Choice of Games,Choice of Games,"RPG,Interactive Fiction,Choose Your Own Adventure,Text-Based,Fantasy,Magic,Supernatural,Choices Matter,Multiple Endings,Story Rich,Singleplayer,Dark Fantasy,Lore-Rich,Steampunk",,
Battlemage: Magic by Mail,"12 Aug, 2021",Choice of Games,Choice of Games,"Action,Adventure,Casual,RPG,Interactive Fiction,Choose Your Own Adventure,Text-Based,Fantasy,Magic,Swordplay,War,Character Customization,Choices Matter,Multiple Endings,Story Rich,Singleplayer,Archery,Combat,Indie",,
The Play's the Thing,"26 Aug, 2021",Choice of Games,Choice of Games,"Choose Your Own Adventure,Interactive Fiction,Text-Based,Romance,Alternate History,Historical,LGBTQ+,Lore-Rich,Drama,Choices Matter,Multiple Endings,Story Rich,RPG,Action,Swordplay,Casual,Diplomacy,Fantasy,Politics,Mystery",,
Wraiths of SENTINEL,"16 Sep, 2021",Choice of Games,Choice of Games,"RPG,Interactive Fiction,Choose Your Own Adventure,Text-Based,Alternate History,Assassin,Conspiracy,Dark,Drama,Supernatural,Thriller,Character Customization,Choices Matter,Multiple Endings,Story Rich,Singleplayer",,Buy Wraiths of SENTINEL
Cliffhanger: Challenger of Tomorrow,"24 Nov, 2021",Choice of Games,Choice of Games,"RPG,Choose Your Own Adventure,Interactive Fiction,Text-Based,Alternate History,Detective,Historical,Lore-Rich,Choices Matter,Multiple Endings,Action,Story Rich,Casual,Logic,Political,Politics,Sci-fi,Drama,Investigation,Mystery",,
Runt of the Litter,"23 Feb, 2017",Choice of Games,Choice of Games,"Indie,RPG,Adventure,Choose Your Own Adventure,Text-Based",,Buy Runt of the Litter
Fate of the Storm Gods,"28 Jan, 2021",Choice of Games,Choice of Games,"RPG,Interactive Fiction,Text-Based,Fantasy,Character Customization,Choices Matter,Multiple Endings,Indie,Adventure,Story Rich,Singleplayer",,
The Luminous Underground,"17 Dec, 2020",Choice of Games,Choice of Games,"Casual,RPG,Action,Choose Your Own Adventure,Adventure,Action-Adventure,Text-Based,Singleplayer,Dynamic Narration,Lore-Rich,Indie,Choices Matter,Fantasy,Futuristic",,Buy The Luminous Underground
Fox Spirit: A Two-Tailed Adventure,"15 Oct, 2020",Choice of Games,Choice of Games,"Indie,RPG,Choose Your Own Adventure,Interactive Fiction,Casual,Action-Adventure,Text-Based,Adventure,Romance,Choices Matter,Fantasy,Multiple Endings,Magic,Drama,Singleplayer",,Buy Fox Spirit: A Two-Tailed Adventure
Kidnapped! A Royal Birthday,"20 Aug, 2020",Choice of Games,Choice of Games,"Casual,Choose Your Own Adventure,Text-Based,RPG,Action,Interactive Fiction,Adventure,Action-Adventure,Singleplayer,Action RPG,Fantasy,Indie,Medieval",,Buy Kidnapped! A Royal Birthday
Werewolves 2: Pack Mentality,"23 Jul, 2020",Choice of Games,Choice of Games,"Adventure,Casual,RPG,Indie,Interactive Fiction,Werewolves,Text-Based,Horror,Choose Your Own Adventure,Action-Adventure,Singleplayer",,Buy Werewolves 2: Pack Mentality
Choice of the Vampire,"27 Aug, 2010",Choice of Games,Choice of Games,"Adventure,RPG,Indie,Text-Based,Choose Your Own Adventure,Vampire",,Buy Choice of the Vampire
180 Files: The Aegis Project,"9 Jul, 2020",Choice of Games,Choice of Games,"Adventure,Casual,RPG,Indie,Interactive Fiction,Text-Based,Choices Matter,LGBTQ+,Story Rich,2D,Romance,Singleplayer,Female Protagonist,Choose Your Own Adventure,Visual Novel",,Buy 180 Files: The Aegis Project
Light Years Apart,"11 Jun, 2020",Choice of Games,Choice of Games,"Indie,Casual,Adventure,RPG,Sci-fi,Text-Based",,Buy Light Years Apart
A Squire's Tale,"14 May, 2020",Choice of Games,Choice of Games,"Adventure,Indie,Casual,RPG,Text-Based,Interactive Fiction,Medieval",,Buy A Squire's Tale
Mask of the Plague Doctor,"23 Apr, 2020",Choice of Games,Choice of Games,"Adventure,Indie,RPG,Interactive Fiction,Medieval,Singleplayer,Horror,Medical Sim,Text-Based,Choose Your Own Adventure",,Buy Mask of the Plague Doctor
Blackstone Academy for the Magical Arts,"9 Apr, 2020",Choice of Games,Choice of Games,"Adventure,Indie,RPG,Interactive Fiction,Romance,Magic,Text-Based,Choose Your Own Adventure",,Buy Blackstone Academy for the Magical Arts
Ironheart,"27 Feb, 2020",Choice of Games,Choice of Games,"Casual,Adventure,Indie,RPG,Text-Based,Action,Interactive Fiction,Medieval,Singleplayer,Mechs",,Buy Ironheart
Zip! Speedster of Valiant City,"20 Feb, 2020",Choice of Games,Choice of Games,"Adventure,Indie,RPG,Action,Text-Based,Singleplayer",,Buy Zip! Speedster of Valiant City
An Odyssey: Echoes of War,"26 Dec, 2019",Choice of Games,Choice of Games,"Adventure,RPG,Indie,Casual,Interactive Fiction,Text-Based",,Buy An Odyssey: Echoes of War
In the Service of Mrs. Claus,"12 Dec, 2019",Choice of Games,Choice of Games,"Adventure,RPG,Indie,Casual,Text-Based",,Buy In the Service of Mrs. Claus
Talon City: Death from Above,"3 Nov, 2022",Hosted Games,Hosted Games,"Adventure,Casual,RPG,Interactive Fiction,Choose Your Own Adventure,Text-Based,Comic Book,Superhero,Indie,Choices Matter,Story Rich,Singleplayer",,
Community College Hero: Fun and Games,"3 Feb, 2022",Hosted Games,Hosted Games,"Adventure,RPG,Interactive Fiction,Choose Your Own Adventure,Text-Based,Comedy,Comic Book,Indie,Superhero,Story Rich,Singleplayer",,
Community College Hero: Knowledge is Power,"17 May, 2018",Hosted Games,Hosted Games,"Indie,Adventure,RPG,Choose Your Own Adventure,Text-Based,Superhero",,Buy Community College Hero: Knowledge is Power
Community College Hero: Trial by Fire,"4 Dec, 2015",Hosted Games,Hosted Games,"Indie,RPG,Text-Based,Choose Your Own Adventure,Superhero,Interactive Fiction",,Buy Community College Hero: Trial by Fire
The Magician's Workshop,"19 Dec, 2019",Choice of Games,Choice of Games,"Adventure,RPG,Indie,Casual,Interactive Fiction,Text-Based",,Buy The Magician's Workshop
Creme de la Creme,"27 Nov, 2019",Choice of Games,Choice of Games,"Indie,Casual,Adventure,RPG,Text-Based,Choose Your Own Adventure,Romance,Interactive Fiction",,Buy Creme de la Creme
Grand Academy II: Attack of the Sequel,"7 Nov, 2019",Choice of Games,Choice of Games,"Adventure,RPG,Indie,Text-Based",,Buy Grand Academy II: Attack of the Sequel
The Fog Knows Your Name,"24 Oct, 2019",Choice of Games,Choice of Games,"Adventure,Indie,RPG,Text-Based,Story Rich,Romance,LGBTQ+,Choices Matter,Female Protagonist,Choose Your Own Adventure",,Buy The Fog Knows Your Name
Sword of the Slayer,"12 Sep, 2019",Choice of Games,Choice of Games,"RPG,Indie,Adventure,Text-Based",,Buy Sword of the Slayer
Psy High 2: High Summer,"15 Aug, 2019",Choice of Games,Choice of Games,"Adventure,RPG,Indie,Text-Based",,Buy Psy High 2: High Summer
Heroes of Myth,"25 Jul, 2019",Choice of Games,Choice of Games,"Adventure,RPG,Indie,Text-Based,Choices Matter,Story Rich,Female Protagonist,LGBTQ+,Choose Your Own Adventure,Interactive Fiction",,Buy Heroes of Myth
Asteroid Run: No Questions Asked,"20 Jun, 2019",Choice of Games,Choice of Games,"Indie,Adventure,RPG,Text-Based,Choose Your Own Adventure",,Buy Asteroid Run: No Questions Asked
Fool!,"23 May, 2019",Choice of Games,Choice of Games,"Adventure,Indie,RPG,Text-Based,Choose Your Own Adventure",,Buy Fool!
Fog of War: The Battle for Cerberus,"26 Apr, 2019",Choice of Games,Choice of Games,"Indie,Adventure,RPG,Text-Based,Choose Your Own Adventure",,Buy Fog of War: The Battle for Cerberus
Exile of the Gods,"11 Jul, 2019",Choice of Games,Choice of Games,"RPG,Indie,Adventure,Choices Matter,LGBTQ+,Female Protagonist,Story Rich,Romance,Text-Based",,Buy Exile of the Gods
The Superlatives: Shattered Worlds,"28 Mar, 2019",Choice of Games,Choice of Games,"Indie,Adventure,RPG,Text-Based,Choose Your Own Adventure",,Buy The Superlatives: Shattered Worlds
Choice of the Dragon,"1 Jan, 2010",Choice of Games,Choice of Games,"Adventure,RPG,Indie,Text-Based,Dragons,Choose Your Own Adventure",,Buy Choice of the Dragon
Drag Star!,"14 Mar, 2019",Choice of Games,Choice of Games,"Indie,Adventure,RPG,Text-Based,LGBTQ+",,Buy Drag Star!
Chronicon Apocalyptica,"11 Jan, 2019",Choice of Games,Choice of Games,"Adventure,Indie,RPG,Text-Based,Choose Your Own Adventure",,Buy Chronicon Apocalyptica
7th Sea: A Pirate's Pact,"14 Dec, 2018",Choice of Games,Choice of Games,"Pirates,Adventure,Indie,RPG,Choose Your Own Adventure,Text-Based",,Buy 7th Sea: A Pirate's Pact
Death Collector,"6 Dec, 2018",Choice of Games,Choice of Games,"Indie,Adventure,RPG,Text-Based",,Buy Death Collector
Weyrwood,"29 Nov, 2018",Choice of Games,Choice of Games,"Adventure,Indie,RPG,Text-Based",,Buy Weyrwood
Stronghold: A Hero's Fate,"16 Nov, 2018",Choice of Games,Choice of Games,"Adventure,Indie,RPG,Text-Based,Choose Your Own Adventure",,Buy Stronghold: A Hero's Fate
Gilded Rails,"1 Nov, 2018",Choice of Games,Choice of Games,"RPG,Trains,Text-Based,Romance,Indie,Adventure,Choose Your Own Adventure,Interactive Fiction,Story Rich,LGBTQ+,Choices Matter,Female Protagonist,Singleplayer",,Buy Gilded Rails
The Martian Job,"5 Oct, 2018",Choice of Games,Choice of Games,"Adventure,RPG,Indie,Choices Matter,Female Protagonist,LGBTQ+,Story Rich,Text-Based,Choose Your Own Adventure",,Buy The Martian Job
The Mysteries of Baroque,"20 Sep, 2018",Choice of Games,Choice of Games,"Indie,Adventure,RPG,Text-Based,Choose Your Own Adventure",,Buy The Mysteries of Baroque
Choice of Broadsides: HMS Foraker,"6 Sep, 2018",Choice of Games,Choice of Games,"Indie,Adventure,RPG,Text-Based,Choose Your Own Adventure",,Buy Choice of Broadsides: HMS Foraker
DinoKnights,"22 Aug, 2018",Choice of Games,Choice of Games,"Adventure,RPG,Indie,Text-Based,Dinosaurs,Choose Your Own Adventure",,Buy DinoKnights
Choice of Magics,"10 Aug, 2018",Choice of Games,Choice of Games,"Indie,Adventure,RPG,Text-Based,Choose Your Own Adventure,Choices Matter,Magic,Fantasy",,Buy Choice of Magics
Blood Money,"12 Jul, 2018",Choice of Games,Choice of Games,"Adventure,RPG,Indie,Text-Based,Choose Your Own Adventure",,Buy Blood Money
Werewolves: Haven Rising,"26 Jul, 2018",Choice of Games,Choice of Games,"Indie,Adventure,RPG,Werewolves,Text-Based,Choose Your Own Adventure,Interactive Fiction",,Buy Werewolves: Haven Rising
"I, Cyborg","28 Jun, 2018",Choice of Games,Choice of Games,"Indie,Adventure,RPG,Text-Based,Choose Your Own Adventure",,"Buy I, Cyborg"
Rent-a-Vice,"24 May, 2018",Choice of Games,Choice of Games,"Adventure,RPG,Indie,Choose Your Own Adventure,Text-Based",,Buy Rent-a-Vice
The Road to Canterbury,"26 Apr, 2018",Choice of Games,Choice of Games,"Adventure,Indie,RPG,Choose Your Own Adventure,Text-Based",,Buy The Road to Canterbury
The Hero Project: Open Season,"5 Apr, 2018",Choice of Games,Choice of Games,"Adventure,RPG,Indie,Text-Based,Choose Your Own Adventure",,Buy The Hero Project: Open Season
The Fielder's Choice,"22 Feb, 2018",Choice of Games,Choice of Games,"Indie,Adventure,RPG,Text-Based,Choose Your Own Adventure",,Buy The Fielder's Choice
Undercover Agent,"25 Jan, 2018",Choice of Games,Choice of Games,"Adventure,RPG,Indie,Text-Based,Choose Your Own Adventure",,Buy Undercover Agent
The Cryptkeepers of Hallowford,"22 Dec, 2017",Choice of Games,Choice of Games,"RPG,Indie,Adventure,Text-Based,Choose Your Own Adventure",,Buy The Cryptkeepers of Hallowford
For Rent: Haunted House,"31 Aug, 2012",Choice of Games,Choice of Games,"Adventure,RPG,Indie,Text-Based",,Buy For Rent: Haunted House
Showdown at Willow Creek,"18 Jan, 2018",Choice of Games,Choice of Games,"Adventure,RPG,Indie,Text-Based,Choose Your Own Adventure",,Buy Showdown at Willow Creek
Yeti's Parole Officer,"26 Sep, 2014",Choice of Games,Choice of Games,"Adventure,RPG,Indie,Text-Based",,Buy Yeti's Parole Officer
To the City of the Clouds,"26 Oct, 2012",Choice of Games,Choice of Games,"Adventure,RPG,Indie,Text-Based,Choose Your Own Adventure",,Buy To the City of the Clouds
The Treasure Seekers of Lady Luck,"12 Apr, 2013",Choice of Games,Choice of Games,"Adventure,RPG,Indie,Text-Based",,Buy The Treasure Seekers of Lady Luck
T-Rex Time Machine,"7 Dec, 2017",Choice of Games,Choice of Games,"Adventure,RPG,Indie,Dinosaurs,Text-Based,Choose Your Own Adventure",,Buy T-Rex Time Machine
Tally Ho,"14 Dec, 2017",Choice of Games,Choice of Games,"Indie,Adventure,RPG,Text-Based,Choose Your Own Adventure,Choices Matter,LGBTQ+",,Buy Tally Ho
Broadway: 1849,"22 Nov, 2017",Choice of Games,Choice of Games,"Indie,Adventure,RPG,Choose Your Own Adventure,Text-Based",,Buy Broadway: 1849
Choice of the Ninja,"17 Nov, 2017",Choice of Games,Choice of Games,"Ninja,Indie,Adventure,RPG,Text-Based",,Buy Choice of the Ninja
Choice of the Rock Star,"17 Nov, 2017",Choice of Games,Choice of Games,"Adventure,RPG,Indie,Text-Based",,Buy Choice of the Rock Star
NOLA is Burning,"17 Nov, 2017",Choice of Games,Choice of Games,"Adventure,RPG,Indie,Gore,Violent,Text-Based",,Buy NOLA is Burning
Choice of Rebels: Uprising,"9 Nov, 2017",Choice of Games,Choice of Games,"Indie,Adventure,RPG,Choose Your Own Adventure,Text-Based,Choices Matter,Fantasy",,Buy Choice of Rebels: Uprising
Heart of the House,"26 Oct, 2017",Choice of Games,Choice of Games,"Indie,Adventure,RPG,Text-Based,Choices Matter,Choose Your Own Adventure,Romance,Horror",,Buy Heart of the House
Choice of Broadsides,"1 Apr, 2010",Choice of Games,Choice of Games,"Adventure,Indie,RPG,Choices Matter,Choose Your Own Adventure,Text-Based,Interactive Fiction",,Buy Choice of Broadsides
The Superlatives: Aetherfall,"19 Oct, 2017",Choice of Games,Choice of Games,"Indie,Adventure,RPG,Choices Matter,Text-Based,Choose Your Own Adventure,Interactive Fiction",,Buy The Superlatives: Aetherfall
The Last Monster Master,"28 Sep, 2017",Choice of Games,Choice of Games,"Adventure,RPG,Indie,Text-Based,Choose Your Own Adventure",,Buy The Last Monster Master
